user_id,created_at,product_id,quantity,price
10,2019-01-01 00:00:00,101,3,55
10,2019-01-02 00:00:00,119,5,29
10,2019-03-31 00:00:00,111,2,149
11,2019-01-02 00:00:00,105,3,234
11,2019-03-31 00:00:00,120,3,99
12,2019-01-02 00:00:00,112,2,200
12,2019-03-31 00:00:00,110,2,299
13,2019-01-05 00:00:00,113,1,67
13,2019-03-31 00:00:00,118,3,35
14,2019-01-06 00:00:00,109,5,199
14,2019-01-06 00:00:00,107,2,27
14,2019-03-31 00:00:00,112,3,200
15,2019-01-08 00:00:00,105,4,234
15,2019-01-09 00:00:00,110,4,299
15,2019-03-31 00:00:00,116,2,499
16,2019-01-10 00:00:00,113,2,67
16,2019-03-31 00:00:00,107,4,27
17,2019-01-11 00:00:00,116,2,499
17,2019-03-31 00:00:00,104,1,154
18,2019-01-12 00:00:00,114,2,248
18,2019-01-12 00:00:00,113,4,67
19,2019-01-12 00:00:00,114,3,248
20,2019-01-15 00:00:00,117,2,999
21,2019-01-16 00:00:00,105,3,234
21,2019-01-17 00:00:00,114,4,248
22,2019-01-18 00:00:00,113,3,67
22,2019-01-19 00:00:00,118,4,35
23,2019-01-20 00:00:00,119,3,29
24,2019-01-21 00:00:00,114,2,248
25,2019-01-22 00:00:00,114,2,248
25,2019-01-22 00:00:00,115,2,72
25,2019-01-24 00:00:00,114,5,248
25,2019-01-27 00:00:00,115,1,72
26,2019-01-25 00:00:00,115,1,72
27,2019-01-26 00:00:00,104,3,154
28,2019-01-27 00:00:00,101,4,55
29,2019-01-27 00:00:00,111,3,149
30,2019-01-29 00:00:00,111,1,149
31,2019-01-30 00:00:00,104,3,154
32,2019-01-31 00:00:00,117,1,999
33,2019-01-31 00:00:00,117,2,999
34,2019-01-31 00:00:00,110,3,299
35,2019-02-03 00:00:00,117,2,999
36,2019-02-04 00:00:00,102,4,82
37,2019-02-05 00:00:00,102,2,82
38,2019-02-06 00:00:00,113,2,67
39,2019-02-07 00:00:00,120,5,99
40,2019-02-08 00:00:00,115,2,72
41,2019-02-08 00:00:00,114,1,248
42,2019-02-10 00:00:00,105,5,234
43,2019-02-11 00:00:00,102,1,82
43,2019-03-05 00:00:00,104,3,154
44,2019-02-12 00:00:00,105,3,234
44,2019-03-05 00:00:00,102,4,82
45,2019-02-13 00:00:00,119,5,29
45,2019-03-05 00:00:00,105,3,234
46,2019-02-14 00:00:00,102,4,82
46,2019-02-14 00:00:00,102,5,29
46,2019-03-09 00:00:00,102,2,35
46,2019-03-10 00:00:00,103,1,199
46,2019-03-11 00:00:00,103,1,199
47,2019-02-14 00:00:00,110,2,299
47,2019-03-11 00:00:00,105,5,234
48,2019-02-14 00:00:00,115,4,72
48,2019-03-12 00:00:00,105,3,234
49,2019-02-18 00:00:00,106,2,123
49,2019-02-18 00:00:00,114,1,248
49,2019-02-18 00:00:00,112,4,200
49,2019-02-18 00:00:00,116,1,499
50,2019-02-20 00:00:00,118,4,35
50,2019-02-21 00:00:00,118,4,29
50,2019-03-13 00:00:00,118,5,299
50,2019-03-14 00:00:00,118,2,199
51,2019-02-21 00:00:00,120,2,99
51,2019-03-13 00:00:00,108,4,120
52,2019-02-23 00:00:00,117,2,999
52,2019-03-18 00:00:00,112,5,200
53,2019-02-24 00:00:00,120,4,99
53,2019-03-19 00:00:00,105,5,234
54,2019-02-25 00:00:00,119,4,29
54,2019-03-20 00:00:00,110,1,299
55,2019-02-26 00:00:00,117,2,999
55,2019-03-20 00:00:00,117,5,999
56,2019-02-27 00:00:00,115,2,72
56,2019-03-20 00:00:00,116,2,499
57,2019-02-28 00:00:00,105,4,234
57,2019-02-28 00:00:00,106,1,123
57,2019-03-20 00:00:00,108,1,120
57,2019-03-20 00:00:00,103,1,79
58,2019-02-28 00:00:00,104,1,154
58,2019-03-01 00:00:00,101,3,55
58,2019-03-02 00:00:00,119,2,29
58,2019-03-25 00:00:00,102,2,82
59,2019-03-04 00:00:00,117,4,999
60,2019-03-05 00:00:00,114,3,248
61,2019-03-26 00:00:00,120,2,99
62,2019-03-27 00:00:00,106,1,123
63,2019-03-27 00:00:00,120,5,99
64,2019-03-27 00:00:00,105,3,234
65,2019-03-27 00:00:00,103,4,79
66,2019-03-31 00:00:00,107,2,27
67,2019-03-31 00:00:00,102,5,82
