date,user_id,downloads
2020-08-24 00:00:00,1,6
2020-08-22 00:00:00,2,6
2020-08-18 00:00:00,3,2
2020-08-24 00:00:00,4,4
2020-08-19 00:00:00,5,7
2020-08-21 00:00:00,6,3
2020-08-24 00:00:00,7,1
2020-08-24 00:00:00,8,8
2020-08-17 00:00:00,9,5
2020-08-16 00:00:00,10,4
2020-08-22 00:00:00,11,8
2020-08-19 00:00:00,12,6
2020-08-15 00:00:00,13,3
2020-08-21 00:00:00,14,0
2020-08-24 00:00:00,15,0
2020-08-15 00:00:00,16,5
2020-08-18 00:00:00,17,5
2020-08-23 00:00:00,18,8
2020-08-15 00:00:00,19,6
2020-08-25 00:00:00,20,4
2020-08-16 00:00:00,21,1
2020-08-25 00:00:00,22,4
2020-08-22 00:00:00,23,7
2020-08-21 00:00:00,24,4
2020-08-25 00:00:00,25,5
2020-08-23 00:00:00,26,6
2020-08-19 00:00:00,27,9
2020-08-24 00:00:00,28,3
2020-08-20 00:00:00,29,0
2020-08-25 00:00:00,30,8
2020-08-20 00:00:00,31,5
2020-08-21 00:00:00,32,8
2020-08-15 00:00:00,33,6
2020-08-24 00:00:00,34,4
2020-08-25 00:00:00,35,1
2020-08-24 00:00:00,36,7
2020-08-17 00:00:00,37,8
2020-08-16 00:00:00,38,8
2020-08-17 00:00:00,39,1
2020-08-20 00:00:00,40,8
2020-08-18 00:00:00,41,3
2020-08-16 00:00:00,42,0
2020-08-23 00:00:00,43,9
2020-08-25 00:00:00,44,9
2020-08-16 00:00:00,45,2
2020-08-15 00:00:00,46,2
2020-08-21 00:00:00,47,1
2020-08-21 00:00:00,48,4
2020-08-22 00:00:00,49,8
2020-08-17 00:00:00,50,6
2020-08-21 00:00:00,51,4
2020-08-20 00:00:00,52,7
2020-08-16 00:00:00,53,7
2020-08-20 00:00:00,54,6
2020-08-20 00:00:00,55,0
2020-08-21 00:00:00,56,8
2020-08-18 00:00:00,57,5
2020-08-17 00:00:00,58,2
2020-08-24 00:00:00,59,3
2020-08-20 00:00:00,60,7
2020-08-22 00:00:00,61,8
2020-08-15 00:00:00,62,6
2020-08-23 00:00:00,63,3
2020-08-17 00:00:00,64,4
2020-08-16 00:00:00,65,4
2020-08-16 00:00:00,66,3
2020-08-19 00:00:00,67,1
2020-08-18 00:00:00,68,2
2020-08-17 00:00:00,69,4
2020-08-22 00:00:00,70,7
2020-08-20 00:00:00,71,6
2020-08-15 00:00:00,72,2
2020-08-17 00:00:00,73,7
2020-08-22 00:00:00,74,1
2020-08-17 00:00:00,75,8
2020-08-19 00:00:00,76,0
2020-08-25 00:00:00,77,1
2020-08-25 00:00:00,78,0
2020-08-17 00:00:00,79,8
2020-08-23 00:00:00,80,7
2020-08-24 00:00:00,81,2
2020-08-21 00:00:00,82,0
2020-08-24 00:00:00,83,4
2020-08-21 00:00:00,84,0
2020-08-25 00:00:00,85,7
2020-08-22 00:00:00,86,1
2020-08-20 00:00:00,87,2
2020-08-19 00:00:00,88,3
2020-08-22 00:00:00,89,8
2020-08-24 00:00:00,90,0
2020-08-22 00:00:00,91,9
2020-08-25 00:00:00,92,7
2020-08-25 00:00:00,93,0
2020-08-17 00:00:00,94,1
2020-08-23 00:00:00,95,2
2020-08-24 00:00:00,96,3
2020-08-21 00:00:00,97,8
2020-08-24 00:00:00,98,0
2020-08-21 00:00:00,99,9
2020-08-25 00:00:00,100,7
